00001740	1		00002573;00002724;00002942;00003826;00004032;00004227;00005041;00006697;00007328;00017024
00002325	3	02112831	
00002573	2	00001740	
00002724	2	00001740	
00002942	2	00001740	
00003133	2	00078513	
00003316	3	00005041	
00003443	3	00105087	
00003662	3	00105087	
00003826	2	00001740	
00004032	2	00001740	
00004227	2	00001740	00006523;00007012
00004492	2	00233707	
00004605	3	00105087	
00004819	3	00010234	
00005041	2	00001740	00003316;00007549;00101533;00109067;01201647;01202883
00005526	4	00007012	
00005815	3	00006238	00006100;00035082
00006100	4	00005815	
00006238	2	00104622	00005815;00101710;00102057
00006523	3	00004227	
00006697	2	00001740	
00006802	4	00007012	
00007012	3	00004227	00005526;00006802;00007193
00007193	4	00007012	
00007328	2	00001740	
00007549	3	00005041	
00007739	3	00010234	00008055;00008195
00008055	4	00007739	
00008195	4	00007739	
00008299	5	00994073	
00008435	2	00233707	
00008595	5	00034281	
00008792	3	00033592	
00008970	5	00034281	
00009140	3	01516062	00009485
00009485	4	00009140	
00009624	3	00010047	00009877
00009877	4	00009624	
00010047	2	01835473	00009624;00014027;00014194
00010234	2	00010428	00004819;00007739;00101383;00102545
00010428	1		00010234;00011354;00011544;00011691;00011845;00011975;00012130;00012260;00012427;00012606;00012746;00012847;00012937;00013165;00013321;00013608;00013851;00105308;00106597;00107173;00107272;01788114;02015537;02379663;02523709;02524622;02525556;02599051;02602905;02606252;02608209;02728891
00011354	2	00010428	
00011544	2	00010428	
00011691	2	00010428	
00011845	2	00010428	
00011975	2	00010428	
00012130	2	00010428	
00012260	2	00010428	
00012427	2	00010428	
00012606	2	00010428	
00012746	2	00010428	
00012847	2	00010428	
00012937	2	00010428	
00013165	2	00010428	
00013321	2	00010428	
00013608	2	00010428	
00013851	2	00010428	
00014027	3	00010047	
00014194	3	00010047	
00014398	3	01550172	00014735;00016373
00014542	1		02088053
00014735	4	00014398	00015156;00015491;00015799;00015939;00016176
00015156	5	00014735	
00015296	6	00015491	
00015491	5	00014735	00015296
00015706	1		
00015799	5	00014735	
00015939	5	00014735	
00016176	5	00014735	
