bed	00017858;01429048;01502721;01570434;02342062
crawl in	00017858
kip down	00017858
hit the hay	00017858
hit the sack	00017858
sack out	00017858
go to sleep	00017858
retire	00017858;01156641;01618361;01770804;01998474;02230124;02384895;02385151;02385393;02433334;02486037
get up	00018151;00018398;00043880;00096402;00607178;01654986;01978076;01987278
turn out	00018151;00426475;01471205;01513208;01626829;01655681;02049364;02345356;02434322;02616880;02639962;02640214
arise	00018151;00340548;01972576;01987278;02589224;02630344;02631867
uprise	00018151;00098524;01972576;01974362;01987278;01987611;01994576;02630344
rise	00018151;00098524;00154951;00155355;00433389;00434185;01158011;01822083;01972576;01973786;01974362;01987148;01987278;01994295;02589224;02630344;02702643
wake up	00018519;00018806
awake	00018519
arouse	00018519;00018806;00022679;01633150;01763170;01766135;01898157
awaken	00018519;00018806;00738100
wake	00018519;00018806;00020126;00874429;01764964
come alive	00018519
waken	00018519;00018806
rouse	00018806;01766380;02060390;02088053
reawaken	00019175
cause to sleep	00019266
affect	00019441;00137133;00839722;01771801;02682907
attack	00019785;00348264;00864347;01120867;01121587;01122487
ulcerate	00019975;00538233
stay up	00020252
sit up	00020252;02102958
keep up	00020442;00118572;01116393;02284977;02685340
hypnotize	00020664
hypnotise	00020664
mesmerize	00020664;00779567
mesmerise	00020664;00779567
entrance	00020919;01810472
spellbind	00020919;00779567;01825070
anesthetize	00021058
anaesthetize	00021058
anesthetise	00021058
anaesthetise	00021058
put under	00021058
put out	00021058;00027698;00969657;01156848;01571845;01618361;01628569;02513385;02761327;02766453
etherize	00021547
etherise	00021547
cocainize	00021672
cocainise	00021672
chloroform	00021819
bring to	00022092
bring back	00022092;02082541
bring round	00022092;00769167
bring around	00022092;00081478;00769167
sedate	00022309
calm	00022309;00417496;01767681;01768652
tranquilize	00022309;01768652
tranquillize	00022309;01768652
tranquillise	00022309;01768652
stimulate	00022679;00504245;00772482;00795741;01648064;01765558;02120601
brace	00022679;01222270;01222557;01810076
energize	00022679;00560179
energise	00022679;00560179
perk up	00022679;00023466
de-energize	00023237
de-energise	00023237
cathect	00023373
perk	00023466
percolate	00023466;01460583;01460857;01461093;02064365;02075555
pick up	00023466;00206006;00514838;00600349;01176110;01210022;01217701;01815703;01960966;01980103;02111702;02122438;02291886;02310566;02360406;02492152
gain vigor	00023466
faint	00023639
conk	00023639;00359085;01404025;01866326
swoon	00023639
pass out	00023639;00023861;02206426
black out	00023861;00202270;00313430;02768257
come to	00024040;02113245;02532477;02681865
revive	00024040;00024272;00097837;00168718;00169106
resuscitate	00024040;00097837
animate	00024272;00193180;00549075;01816687
recreate	00024272;01741498;01821905;02423521
reanimate	00024272
renovate	00024272;00163249;00164009
repair	00024272;00200276;00261534;01847439;02255433
quicken	00024272;00052752;00439133;00443018;02122017
vivify	00024272;00583222
revivify	00024272
refresh	00024642;00024807;00164252;00698618
freshen	00024642;00024807;00164252
refreshen	00024642;00024807
freshen up	00024807;00163249
wash up	00025027;00075174;00424210;01535954;02084729
lave	00025027;00036355;00218002
tense	00025196;00026146;00537384;01575559
strain	00025196;00477675;01148517;01167895;01253038;01461293;01462658;01575559;01802463
tense up	00025196;00026146
crick	00025503
relax	00025647;00026378;00420090;00420638;00442167;02607805;02607993;02608209
unstrain	00025647
unlax	00025647
loosen up	00025647;00026378;00027057;01482312;02608209
unwind	00025647;00026378;01526442;01526611
make relaxed	00025647
unbend	00025978;00026378;00420638;01283672;01347219;02039626
decompress	00026378;00404874;01392261
slow down	00026378;00439450;00440913;00441535;00441741
vege out	00026727
vegetate	00026727;00055451;00231714;00232651;00232796;00232932;02621633
sit back	00026934;02379190
take it easy	00026934
limber up	00027057;01606541
warm up	00027057;00100659;00373765;00373903;02449262
stretch	00027261;00101188;00153949;00241696;00319617;00488684;00542826;01452184;01989285;02058913;02613865
extend	00027261;00027698;00153949;00235827;00318689;00319127;00541315;00542026;01167895;01371528;01964155;02058913;02302703;02302909;02691775;02693758;02695935
spread-eagle	00027563;01106659;01546408;01940926;02696419
