entity	00001740
sardina pilchardus	02535840
sardinops	02536055
genus sardinops	02536055
pacific sardine	02536176
sardinops caerulea	02536176
engraulidae	02536339
family engraulidae	02536339
anchovy	02536465;07799643
engraulis	02536667
genus engraulis	02536667
mediterranean anchovy	02536796
engraulis encrasicholus	02536796
salmonidae	02536983
family salmonidae	02536983
salmonid	02537190
salmon	02537365;04972548;07811727;09443301
redfish	02537889;02598332;07808093
salmo	02537980
genus salmo	02537980
atlantic salmon	02538168;07811981
salmo salar	02538168
landlocked salmon	02538390
lake salmon	02538390
oncorhynchus	02538540
genus oncorhynchus	02538540
sockeye	02538796;07812141
sockeye salmon	02538796;07812141
red salmon	02538796;07812141
blueback salmon	02538796
oncorhynchus nerka	02538796
chinook	02539087;06937773;07812297;09672240;11458726
chinook salmon	02539087;07812297
king salmon	02539087;07812297
quinnat salmon	02539087
oncorhynchus tshawytscha	02539087
chum salmon	02539316
chum	02539316;03031480;09897417
oncorhynchus keta	02539316
coho	02539495;07812444
cohoe	02539495;07812444
coho salmon	02539495;07812444
blue jack	02539495
silver salmon	02539495;07812444
oncorhynchus kisutch	02539495
trout	02539716;07810428
brown trout	02539950
salmon trout	02539950;02540641;07810720
salmo trutta	02539950
rainbow trout	02540156;07810581
salmo gairdneri	02540156
sea trout	02540347;02601682;07810720
salvelinus	02540478
genus salvelinus	02540478
lake trout	02540641;07810995
salvelinus namaycush	02540641
brook trout	02540847;07810869
speckled trout	02540847;07810869
salvelinus fontinalis	02540847
char	02541037;09930684;14709333
charr	02541037
arctic char	02541193
salvelinus alpinus	02541193
coregonidae	02541361
family coregonidae	02541361
whitefish	02541616;07811109;07811293
coregonus	02541882
genus coregonus	02541882
lake whitefish	02542055
coregonus clupeaformis	02542055
cisco	02542204;07811435
lake herring	02542204;07811435
coregonus artedi	02542204
prosopium	02542383
genus prosopium	02542383
round whitefish	02542525
menominee whitefish	02542525
prosopium cylindraceum	02542525
rocky mountain whitefish	02542722
prosopium williamsonii	02542722
osmeridae	02542886
family osmeridae	02542886
smelt	02543043;07814530
osmerus	02543268
genus osmerus	02543268
rainbow smelt	02543422;07814704
osmerus mordax	02543422
sparling	02543614;07814848
european smelt	02543614;07814848
osmerus eperlanus	02543614
mallotus	02543770
genus mallotus	02543770
capelin	02543888
capelan	02543888
caplin	02543888
elopidae	02544062
family elopidae	02544062
genus tarpon	02544214
tarpon	02544318
tarpon atlanticus	02544318
elops	02544506
genus elops	02544506
ladyfish	02544648
tenpounder	02544648
elops saurus	02544648
albulidae	02544793
family albulidae	02544793
albula	02544914
genus albula	02544914
bonefish	02545063
albula vulpes	02545063
argentinidae	02545229
family argentinidae	02545229
argentina	02545435;08729807
genus argentina	02545435
argentine	02545589
myctophidae	02545724
family myctophidae	02545724
lanternfish	02545886
synodontidae	02546043
family synodontidae	02546043
lizardfish	02546196
snakefish	02546196
snake-fish	02546196
chlorophthalmidae	02546368
family chlorophthalmidae	02546368
greeneye	02546583
alepisaurus	02546717
genus alepisaurus	02546717
lancetfish	02546905
lancet fish	02546905
wolffish	02546905;02619481
handsaw fish	02547106
osteoglossiformes	02547227
order osteoglossiformes	02547227
osteoglossidae	02547385
family osteoglossidae	02547385
scleropages	02547591
genus scleropages	02547591
australian arowana	02547784
dawson river salmon	02547784
spotted barramundi	02547784
spotted bonytongue	02547784
scleropages leichardti	02547784
australian bonytongue	02548018
northern barramundi	02548018
scleropages jardinii	02548018
lampridae	02548200
family lampridae	02548200
lampris	02548318
genus lampris	02548318
opah	02548472
moonfish	02548472;02580864
lampris regius	02548472
new world opah	02548659
lampris guttatus	02548659
trachipteridae	02548808
family trachipteridae	02548808
ribbonfish	02548962;02549645
trachipterus	02549108
genus trachipterus	02549108
dealfish	02549258
trachipterus arcticus	02549258
regalecidae	02549375
family regalecidae	02549375
reglaecus	02549504
genus regalecus	02549504
oarfish	02549645
king of the herring	02549645
regalecus glesne	02549645
pediculati	02549844
order pediculati	02549844
ogcocephalidae	02550193
family ogcocephalidae	02550193
batfish	02550364
lophiidae	02550578
family lophiidae	02550578
lophius	02550759
genus lophius	02550759
goosefish	02550878
angler	02550878;09813387;09813522
anglerfish	02550878
angler fish	02550878
lotte	02550878
allmouth	02550878
lophius americanus	02550878
batrachoididae	02551153
family batrachoididae	02551153
toadfish	02551320
opsanus tau	02551320
oyster fish	02551515
oyster-fish	02551515
oysterfish	02551515
antennariidae	02551621
family antennariidae	02551621
frogfish	02551879
sargassum fish	02552007
synentognathi	02552164
order synentognathi	02552164
belonidae	02552427
family belonidae	02552427
gar	02552620;02644009
billfish	02552620;02554299;02633369;02644009
timucu	02552834
exocoetidae	02552927
family exocoetidae	02552927
flying fish	02553091
monoplane flying fish	02553286
two-wing flying fish	02553286
biplane flying fish	02553411
four-wing flying fish	02553411
hemiramphidae	02553546
family hemiramphidae	02553546
halfbeak	02553765
scomberesocidae	02553947
family scomberesocidae	02553947
scombresocidae	02553947
family scombresocidae	02553947
scomberesox	02554125
genus scomberesox	02554125
scombresox	02554125
genus scombresox	02554125
saury	02554299
scomberesox saurus	02554299
acanthopterygii	02554455
superorder acanthopterygii	02554455
spiny-finned fish	02554802
acanthopterygian	02554802
ophiodontidae	02555368
family ophiodontidae	02555368
ophiodon	02555525
genus ophiodon	02555525
lingcod	02555659;07800967
ophiodon elongatus	02555659
perciformes	02555827
order perciformes	02555827
percomorphi	02555827
order percomorphi	02555827
percoidea	02557143
suborder percoidea	02557143
percoid fish	02557361
percoid	02557361
percoidean	02557361
perch	02558494;02559477;03921038;07796149;08644333;13635960;13672539
anabantidae	02558645
family anabantidae	02558645
anabas	02558826
genus anabas	02558826
climbing perch	02559004
anabas testudineus	02559004
a. testudineus	02559004
percidae	02559254
family percidae	02559254
perca	02559664
genus perca	02559664
yellow perch	02559813
perca flavescens	02559813
european perch	02559949
perca fluviatilis	02559949
stizostedion	02560092
genus stizostedion	02560092
pike-perch	02560222
pike perch	02560222
walleye	02560380;14581165
walleyed pike	02560380
jack salmon	02560380
stizostedion vitreum	02560380
blue pike	02560540
blue pickerel	02560540
blue pikeperch	02560540
blue walleye	02560540
strizostedion vitreum glaucum	02560540
percina	02560710
genus percina	02560710
snail darter	02560837
percina tanasi	02560837
trichodontidae	02560981
family trichodontidae	02560981
ophidiidae	02561355
family ophidiidae	02561355
cusk-eel	02561491
brotulidae	02561611
family brotulidae	02561611
brotula	02561775
carapidae	02561863
family carapidae	02561863
pearlfish	02562014
pearl-fish	02562014
centropomidae	02562237
family centropomidae	02562237
robalo	02562493
centropomus	02562605
genus centropomus	02562605
snook	02562741
latinae	02562902
lates	02563014
genus lates	02563014
barramundi	02563177
giant perch	02563177
giant seaperch	02563177
asian seabass	02563177
white seabass	02563177
lates calcarifer	02563177
esocidae	02563454
family esocidae	02563454
esox	02563595
genus esox	02563595
pike	02563739;03311555;03941726;03941974;07795351
northern pike	02564012
esox lucius	02564012
muskellunge	02564145;07795511
esox masquinongy	02564145
pickerel	02564292;07795640
chain pickerel	02564434
chain pike	02564434
esox niger	02564434
redfin pickerel	02564568
barred pickerel	02564568
esox americanus	02564568
centrarchidae	02564716
family centrarchidae	02564716
sunfish	02564946;02659300;07796283
centrarchid	02564946
pomoxis	02565311
genus pomoxis	02565311
crappie	02565427;07796462
black crappie	02565602
pomoxis nigromaculatus	02565602
white crappie	02565710
pomoxis annularis	02565710
freshwater bream	02565813;07793334
bream	02565813;02593332;07793165;07793334
lepomis	02566128
genus lepomis	02566128
pumpkinseed	02566279
lepomis gibbosus	02566279
bluegill	02566423
lepomis macrochirus	02566423
spotted sunfish	02566580
stumpknocker	02566580
lepomis punctatus	02566580
ambloplites	02566761
genus ambloplites	02566761
freshwater bass	02566901;07793488
rock bass	02567034;02570264
rock sunfish	02567034
ambloplites rupestris	02567034
micropterus	02567203
genus micropterus	02567203
black bass	02567351;02570403
kentucky black bass	02567566
spotted black bass	02567566
micropterus pseudoplites	02567566
smallmouth	02567703
smallmouth bass	02567703;07793816
smallmouthed bass	02567703
smallmouth black bass	02567703
smallmouthed black bass	02567703
micropterus dolomieu	02567703
largemouth	02567955
largemouth bass	02567955;07793711
largemouthed bass	02567955
largemouth black bass	02567955
largemouthed black bass	02567955
micropterus salmoides	02567955
bass	02568204;02806515;04994045;06885404;07045779;07793488;07793921;09861916
serranidae	02568359
family serranidae	02568359
serranid fish	02568740
serranid	02568740
morone	02568956
genus morone	02568956
white perch	02569120
silver perch	02569120;02597969
morone americana	02569120
yellow bass	02569296
morone interrupta	02569296
sea bass	02569465;07793921
synagrops	02569832
genus synagrops	02569832
blackmouth bass	02569965
synagrops bellus	02569965
centropristis	02570115
genus centropristis	02570115
rock sea bass	02570264
centropristis philadelphica	02570264
black sea bass	02570403
centropistes striata	02570403
roccus	02570591
genus roccus	02570591
striped bass	02570718;07794079
striper	02570718;07794079;10683515
roccus saxatilis	02570718
rockfish	02570718;02646743;07808195
polyprion	02570957
genus polyprion	02570957
stone bass	02571078
wreckfish	02571078
polyprion americanus	02571078
serranus	02571267
genus serranus	02571267
belted sandfish	02571438
serranus subligarius	02571438
grouper	02571590;07794200
epinephelus	02571782
genus epinephelus	02571782
epinephelus fulvus	02571965
rock hind	02572262
epinephelus adscensionis	02572262
paranthias	02572401
genus paranthias	02572401
creole-fish	02572536
paranthias furcifer	02572536
mycteroperca	02572669
genus mycteroperca	02572669
jewfish	02572795;02598697
mycteroperca bonaci	02572795
rypticus	02572943
genus rypticus	02572943
soapfish	02573115
embiotocidae	02573279
family embiotocidae	02573279
surfperch	02573469
surffish	02573469;02599634
surf fish	02573469;02599634
hipsurus	02573665
genus hipsurus	02573665
rainbow seaperch	02573798
rainbow perch	02573798
hipsurus caryi	02573798
priacanthidae	02573931
family priacanthidae	02573931
priacanthus	02574117
genus priacanthus	02574117
bigeye	02574283
catalufa	02574441
priacanthus arenatus	02574441
apogonidae	02574614
family apogonidae	02574614
cardinalfish	02574827
apogon	02575000
genus apogon	02575000
flame fish	02575115
flamefish	02575115
apogon maculatus	02575115
astropogon	02575259
genus astropogon	02575259
conchfish	02575394
astropogon stellatus	02575394
malacanthidae	02575535
family malacanthidae	02575535
lopholatilus	02575706
genus lopholatilus	02575706
tilefish	02575880;02585727
lopholatilus chamaeleonticeps	02575880
pomatomidae	02576037
family pomatomidae	02576037
pomatomus	02576194
genus pomatomus	02576194
bluefish	02576335;07801759
pomatomus saltatrix	02576335
rachycentridae	02576549
family rachycentridae	02576549
rachycentron	02576724
genus rachycentron	02576724
cobia	02576902
rachycentron canadum	02576902
sergeant fish	02576902
discocephali	02577120
order discocephali	02577120
echeneididae	02577282
family echeneididae	02577282
family echeneidae	02577282
remora	02577541
suckerfish	02577541
sucking fish	02577541
echeneis	02577799
genus echeneis	02577799
sharksucker	02577956
echeneis naucrates	02577956
remilegia	02578086
genus remilegia	02578086
whale sucker	02578221
whalesucker	02578221
remilegia australis	02578221
carangidae	02578397
family carangidae	02578397
carangid fish	02578854
carangid	02578854
caranx	02579091
genus caranx	02579091
crevalle jack	02579537
jack crevalle	02579537
caranx hippos	02579537
yellow jack	02579672;04619980;14168442
caranx bartholomaei	02579672
runner	02579795;04127187;04127360;09853766;09861084;10562165;10562318;10562445;10634850;13148602
blue runner	02579795
caranx crysos	02579795
elagatis	02579922
genus elagatis	02579922
rainbow runner	02580034
elagatis bipinnulata	02580034
oligoplites	02580163
genus oligoplites	02580163
leatherjack	02580293
alectis	02580454
genus alectis	02580454
threadfish	02580583
thread-fish	02580583
alectis ciliaris	02580583
selene	02580756;09594268
genus selene	02580756
atlantic moonfish	02580864
horsefish	02580864
horsehead	02580864
horse-head	02580864
dollarfish	02580864;02636052
selene setapinnis	02580864
lookdown	02581085
lookdown fish	02581085
selene vomer	02581085
seriola	02581235
genus seriola	02581235
amberjack	02581402
amberfish	02581402
yellowtail	02581559;02590507
seriola dorsalis	02581559
rudderfish	02581722;02607110
banded rudderfish	02581722
seriola zonata	02581722
kingfish	02581934;02600238;02601203;02628895;07800786
seriola grandis	02581934
trachinotus	02582051
genus trachinotus	02582051
pompano	02582188;07797665
florida pompano	02582393
trachinotus carolinus	02582393
trachinotus falcatus	02582559
naucrates	02582686
genus naucrates	02582686
pilotfish	02582819
naucrates ductor	02582819
scad	02582967
trachurus	02583177
genus trachurus	02583177
horse mackerel	02583310;02583461;02629922
jack mackerel	02583310
spanish mackerel	02583310;02627437;02628242;07797473
saurel	02583310;02583461
trachurus symmetricus	02583310
trachurus trachurus	02583461
selar	02583622
genus selar	02583622
bigeye scad	02583739
big-eyed scad	02583739
goggle-eye	02583739
selar crumenophthalmus	02583739
decapterus	02583920
genus decapterus	02583920
mackerel scad	02584113
mackerel shad	02584113
decapterus macarellus	02584113
round scad	02584273
cigarfish	02584273
quiaquia	02584273
decapterus punctatus	02584273
coryphaenidae	02584434
family coryphaenidae	02584434
dolphinfish	02584588;07794914
mahimahi	02584588;07794914
coryphaena hippurus	02584851
coryphaena equisetis	02584980
bramidae	02585068
family bramidae	02585068
brama	02585222
genus brama	02585222
pomfret	02585352
brama raii	02585352
branchiostegidae	02585550
family branchiostegidae	02585550
blanquillo	02585727
characidae	02585842
family characidae	02585842
characinidae	02586088
family characinidae	02586088
characin	02586198
characin fish	02586198
characid	02586198
hemigrammus	02586399
genus hemigrammus	02586399
tetra	02586521
paracheirodon	02586635
genus paracheirodon	02586635
cardinal tetra	02586776
paracheirodon axelrodi	02586776
serrasalmus	02586956
genus serrasalmus	02586956
piranha	02587080;10312833
pirana	02587080
caribe	02587080
tentacle	02587274;05202443
antenna	02587546;02718140;04850501
feeler	02587546;02587916;04850501;07179000
arista	02587799
barbel	02587916
swimmeret	02588077
pleopod	02588077
cichlidae	02588363
family cichlidae	02588363
cichlid	02588503
cichlid fish	02588503
tilapia	02588760
genus tilapia	02588760
bolti	02588869
tilapia nilotica	02588869
lutjanidae	02589013
family lutjanidae	02589013
lutjanus	02589496
genus lutjanus	02589496
red snapper	02589682;07813333
lutjanus blackfordi	02589682
grey snapper	02589931
gray snapper	02589931
mangrove snapper	02589931
lutjanus griseus	02589931
mutton snapper	02590110
muttonfish	02590110
lutjanus analis	02590110
schoolmaster	02590248;10183826;10579424
lutjanus apodus	02590248
ocyurus	02590391
genus ocyurus	02590391
yellowtail snapper	02590507
ocyurus chrysurus	02590507
haemulidae	02590738
family haemulidae	02590738
grunt	02590916;07399214;10168761
haemulon	02591210
genus haemulon	02591210
margate	02591424
haemulon album	02591424
spanish grunt	02591575
haemulon macrostomum	02591575
tomtate	02591692
haemulon aurolineatum	02591692
cottonwick	02591826
haemulon malanurum	02591826
sailor's-choice	02591946;02595001
sailors choice	02591946
haemulon parra	02591946
anisotremus	02592116
genus anisotremus	02592116
porkfish	02592253
pork-fish	02592253
anisotremus virginicus	02592253
pompon	02592426;03987092
black margate	02592426
anisotremus surinamensis	02592426
orthopristis	02592585
genus orthopristis	02592585
pigfish	02592724;02610914
hogfish	02592724;02611177
orthopristis chrysopterus	02592724
sparidae	02592867
family sparidae	02592867
sparid	02593125
sparid fish	02593125
sea bream	02593332;07793165
porgy	02593617;07806057
pagrus	02593835
genus pagrus	02593835
red porgy	02593960
pagrus pagrus	02593960
pagellus	02594123
genus pagellus	02594123
european sea bream	02594243
pagellus centrodontus	02594243
archosargus	02594387
genus archosargus	02594387
atlantic sea bream	02594541
archosargus rhomboidalis	02594541
sheepshead	02594685
archosargus probatocephalus	02594685
lagodon	02594874
genus lagodon	02594874
pinfish	02595001
lagodon rhomboides	02595001
genus calamus	02595237;12606871
sheepshead porgy	02595364
calamus penna	02595364
chrysophrys	02595496
genus chrysophrys	02595496
chrysophrys auratus	02595649
black bream	02595821
chrysophrys australis	02595821
stenotomus	02595983
genus stenotomus	02595983
scup	02596083;02596309;07806057;07806222
northern porgy	02596083
northern scup	02596083
stenotomus chrysops	02596083
southern porgy	02596309
southern scup	02596309
stenotomus aculeatus	02596309
sciaenidae	02596493
family sciaenidae	02596493
sciaenid fish	02596880
sciaenid	02596880
drum	02597182;02893592;03254272;03254659;07398075;13923904
drumfish	02597182
equetus	02597437
genus equetus	02597437
striped drum	02597572
equetus pulcher	02597572
jackknife-fish	02597686
equetus lanceolatus	02597686
bairdiella	02597847
genus bairdiella	02597847
mademoiselle	02597969
bairdiella chrysoura	02597969
sciaenops	02598199
genus sciaenops	02598199
red drum	02598332
channel bass	02598332
sciaenops ocellatus	02598332
sciaena	02598532
genus sciaena	02598532
mulloway	02598697
sciaena antarctica	02598697
maigre	02598882
maiger	02598882
sciaena aquila	02598882
croaker	02599011;07794318
micropogonias	02599222
genus micropogonias	02599222
atlantic croaker	02599350
micropogonias undulatus	02599350
umbrina	02599518
genus umbrina	02599518
yellowfin croaker	02599634
umbrina roncador	02599634
menticirrhus	02599803
genus menticirrhus	02599803
king whiting	02600448
menticirrhus americanus	02600448
northern whiting	02600602
menticirrhus saxatilis	02600602
corbina	02600764
menticirrhus undulatus	02600764
silver whiting	02600882
menticirrhus littoralis	02600882
genyonemus	02601068
genus genyonemus	02601068
white croaker	02601203;02601508
chenfish	02601203
genyonemus lineatus	02601203
seriphus	02601377
genus seriphus	02601377
queenfish	02601508
seriphus politus	02601508
cynoscion	02601837
genus cynoscion	02601837
weakfish	02601977;07808446
cynoscion regalis	02601977
spotted weakfish	02602187
spotted sea trout	02602187
spotted squeateague	02602187
cynoscion nebulosus	02602187
mullidae	02602414
family mullidae	02602414
mullet	02602588;02603974;07800343
mullus	02602765
genus mullus	02602765
goatfish	02602928
red mullet	02602928
surmullet	02602928
mullus surmuletus	02602928
red goatfish	02603133
mullus auratus	02603133
mulloidichthys	02603287
genus mulloidichthys	02603287
yellow goatfish	02603428
mulloidichthys martinicus	02603428
mugiloidea	02603583
suborder mugiloidea	02603583
mugilidae	02603830
family mugilidae	02603830
grey mullet	02603974;07800343
gray mullet	02603974;07800343
mugil	02604219
genus mugil	02604219
striped mullet	02604397
mugil cephalus	02604397
white mullet	02604551
mugil curema	02604551
liza	02604689
mugil liza	02604689
atherinidae	02604845
family atherinidae	02604845
silverside	02605035
atherinopsis	02605250
genus atherinopsis	02605250
jacksmelt	02605390
atherinopsis californiensis	02605390
sphyraenidae	02605600
family sphyraenidae	02605600
sphyraena	02605804
genus sphyraena	02605804
barracuda	02605947
great barracuda	02606170
sphyraena barracuda	02606170
pempheridae	02606367
family pempheridae	02606367
sweeper	02606492;02971234;10702160
kyphosidae	02606644
family kyphosidae	02606644
sea chub	02606787
kyphosus	02606972
genus kyphosus	02606972
bermuda chub	02607110
kyphosus sectatrix	02607110
ephippidae	02607287
family ephippidae	02607287
chaetodipterus	02607441
genus chaetodipterus	02607441
spadefish	02607584
chaetodipterus faber	02607584
chaetodontidae	02607769
family chaetodontidae	02607769
butterfly fish	02607946
genus chaetodon	02608201
chaetodon	02608333
pomacanthus	02608439
genus pomacanthus	02608439
rock beauty	02608682
holocanthus tricolor	02608682
pomacentridae	02608824
family pomacentridae	02608824
damselfish	02609014
demoiselle	02609014;10008706
pomacentrus	02609220
genus pomacentrus	02609220
beaugregory	02609381
pomacentrus leucostictus	02609381
amphiprion	02609556
genus amphiprion	02609556
anemone fish	02609702
clown anemone fish	02609831
amphiprion percula	02609831
abudefduf	02609975
genus abudefduf	02609975
sergeant major	02610100;10600730
abudefduf saxatilis	02610100
labridae	02610260
family labridae	02610260
wrasse	02610492
achoerodus	02610781
genus achoerodus	02610781
giant pigfish	02610914
achoerodus gouldii	02610914
lachnolaimus	02611059
genus lachnolaimus	02611059
hog snapper	02611177
lachnolaimus maximus	02611177
halicoeres	02611338
genus halicoeres	02611338
slippery dick	02611490
halicoeres bivittatus	02611490
puddingwife	02611626
pudding-wife	02611626
halicoeres radiatus	02611626
thalassoma	02611799
genus thalassoma	02611799
bluehead	02611932
thalassoma bifasciatum	02611932
hemipteronatus	02612096
genus hemipteronatus	02612096
razor fish	02612247
razor-fish	02612247
pearly razorfish	02612453
hemipteronatus novacula	02612453
tautoga	02612581
genus tautoga	02612581
tautog	02612696
tautoga onitis	02612696
tautogolabrus	02612864
genus tautogolabrus	02612864
cunner	02613003
bergall	02613003
tautogolabrus adspersus	02613003
scaridae	02613171
family scaridae	02613171
parrotfish	02613294
polly fish	02613294
pollyfish	02613294
polynemidae	02613464
family polynemidae	02613464
threadfin	02613610
polydactylus	02613784
genus polydactylus	02613784
barbu	02613924
polydactylus virginicus	02613924
opisthognathidae	02614055
family opisthognathidae	02614055
jawfish	02614191
uranoscopidae	02614397
family uranoscopidae	02614397
stargazer	02614528;09837748;10013657
dactyloscopidae	02614676
family dactyloscopidae	02614676
sand stargazer	02614797
blennioidea	02615023
suborder blennioidea	02615023
blennioid fish	02615287
blennioid	02615287
blenniidae	02615612
family blenniidae	02615612
blenny	02615811
combtooth blenny	02615811
blennius	02616064
genus blennius	02616064
shanny	02616202
blennius pholis	02616202
scartella	02616317
genus scartella	02616317
molly miller	02616450
scartella cristata	02616450
clinidae	02616590
family clinidae	02616590
clinid	02616770
clinid fish	02616770
chaenopsis	02616918
genus chaenopsis	02616918
pikeblenny	02617112
bluethroat pikeblenny	02617283
chaenopsis ocellata	02617283
pholidae	02617418
family pholidae	02617418
family pholididae	02617418
gunnel	02617608;03475925
bracketed blenny	02617608
pholis	02617787
genus pholis	02617787
rock gunnel	02617928
butterfish	02617928;02635619;07801981
pholis gunnellus	02617928
stichaeidae	02618124
family stichaeidae	02618124
lumpenus	02618459
genus lumpenus	02618459
snakeblenny	02618610
lumpenus lumpretaeformis	02618610
eelblenny	02618758
cryptacanthodes	02618881
genus cryptacanthodes	02618881
wrymouth	02619027
ghostfish	02619027
cryptacanthodes maculatus	02619027
anarhichadidae	02619202
family anarhichadidae	02619202
anarhichas	02619335
genus anarhichas	02619335
wolf fish	02619481
zoarcidae	02619659
family zoarcidae	02619659
zoarces	02620032
genus zoarces	02620032
viviparous eelpout	02620167
zoarces viviparus	02620167
gymnelis	02620319
genus gymnelis	02620319
fish doctor	02620449
gymnelis viridis	02620449
macrozoarces	02620586
genus macrozoarces	02620586
ocean pout	02620724
macrozoarces americanus	02620724
ammodytidae	02620874
family ammodytidae	02620874
ammodytes	02621002
genus ammodytes	02621002
sand lance	02621143
sand launce	02621143
sand eel	02621143
launce	02621143
callionymidae	02621327
family callionymidae	02621327
dragonet	02621457
gobiidae	02621659
family gobiidae	02621659
goby	02621795
periophthalmus	02622039
genus periophthalmus	02622039
mudskipper	02622180
mudspringer	02622180
eleotridae	02622368
family eleotridae	02622368
sleeper goby	02622491
percophidae	02622663
family percophidae	02622663
flathead	02622797;02652176
toxotidae	02622948
family toxotidae	02622948
toxotes	02623073
genus toxotes	02623073
archerfish	02623208
toxotes jaculatrix	02623208
microdesmidae	02623456
family microdesmidae	02623456
worm fish	02623586
acanthuridae	02623737
family acanthuridae	02623737
surgeonfish	02623888
acanthurus	02624049
genus acanthurus	02624049
doctorfish	02624207
doctor-fish	02624207
acanthurus chirurgus	02624207
gempylidae	02624351
family gempylidae	02624351
gempylid	02624538
gempylus	02624760
genus gempylus	02624760
snake mackerel	02624879
gempylus serpens	02624879
lepidocybium	02625038
genus lepidocybium	02625038
escolar	02625177
lepidocybium flavobrunneum	02625177
oilfish	02625342
ruvettus pretiosus	02625342
trichiuridae	02625453
family trichiuridae	02625453
cutlassfish	02625585
frost fish	02625585
hairtail	02625585
scombroidea	02625800
suborder scombroidea	02625800
scombroid	02626075
scombroid fish	02626075
scombridae	02626498
family scombridae	02626498
mackerel	02626797;07797295
scomber	02627007
genus scomber	02627007
common mackerel	02627181
scomber scombrus	02627181
scomber colias	02627437
chub mackerel	02627617
tinker	02627617;10731501;10731704
scomber japonicus	02627617
acanthocybium	02627762
genus acanthocybium	02627762
wahoo	02627888;12770439;12770612
acanthocybium solandri	02627888
scomberomorus	02628048
genus scomberomorus	02628048
king mackerel	02628481
cavalla	02628481
cero	02628481;02628895
scomberomorus cavalla	02628481
scomberomorus maculatus	02628719
pintado	02628895
scomberomorus regalis	02628895
sierra	02629101;09457249
scomberomorus sierra	02629101
thunnus	02629220
genus thunnus	02629220
tunny	02629392;07796603
albacore	02629667;07796850
long-fin tunny	02629667
thunnus alalunga	02629667
bluefin	02629922;07797183
bluefin tuna	02629922;07797183
thunnus thynnus	02629922
yellowfin	02630162
yellowfin tuna	02630162
thunnus albacares	02630162
sarda	02630316
genus sarda	02630316
bonito	02630465;02631860;07796998
atlantic bonito	02630692
sarda sarda	02630692
chile bonito	02630889
chilean bonito	02630889
pacific bonito	02630889
sarda chiliensis	02630889
euthynnus	02631097
genus euthynnus	02631097
skipjack tuna	02631230
euthynnus pelamis	02631230
katsuwonus	02631486
genus katsuwonus	02631486
katsuwonidae	02631678
family kasuwonidae	02631678
oceanic bonito	02631860
katsuwonus pelamis	02631860
xiphiidae	02632065
family xiphiidae	02632065
xiphias	02632211
genus xiphias	02632211
swordfish	02632346;07801863
xiphias gladius	02632346
istiophoridae	02632682
family istiophoridae	02632682
sailfish	02632911;07808359
istiophorus	02633098
genus istiophorus	02633098
atlantic sailfish	02633245
istiophorus albicans	02633245
makaira	02633556
genus makaira	02633556
marlin	02633671
blue marlin	02633960
makaira nigricans	02633960
black marlin	02634105
makaira mazara	02634105
makaira marlina	02634105
striped marlin	02634258
makaira mitsukurii	02634258
white marlin	02634405
makaira albida	02634405
tetrapturus	02634529
genus tetrapturus	02634529
spearfish	02634669
luvaridae	02634869
family luvaridae	02634869
luvarus	02634989
genus luvarus	02634989
louvar	02635124
luvarus imperialis	02635124
stromateidae	02635324
family stromateidae	02635324
stromateid fish	02635619
stromateid	02635619
poronotus	02635917
genus poronotus	02635917
poronotus triacanthus	02636052
genus palometa	02636185
palometa	02636307
california pompano	02636307
palometa simillima	02636307
paprilus	02636474
genus paprilus	02636474
harvestfish	02636607
paprilus alepidotus	02636607
psenes	02636786
genus psenes	02636786
driftfish	02636915;02637175
ariomma	02637044
genus ariomma	02637044
tetragonurus	02637347
genus tetragonurus	02637347
squaretail	02637488
hyperoglyphe	02637643
genus hyperoglyphe	02637643
barrelfish	02637784
black rudderfish	02637784
hyperglyphe perciformis	02637784
gobiesocidae	02637940
family gobiesocidae	02637940
gobiesox	02638089
genus gobiesox	02638089
clingfish	02638210
skillet fish	02638411
skilletfish	02638411
gobiesox strumosus	02638411
lobotidae	02638541
family lobotidae	02638541
lobotes	02638665
genus lobotes	02638665
tripletail	02638800
atlantic tripletail	02639035
lobotes surinamensis	02639035
pacific tripletail	02639180
lobotes pacificus	02639180
gerreidae	02639296
family gerreidae	02639296
mojarra	02639484
gerres	02639676
genus gerres	02639676
yellowfin mojarra	02639809
gerres cinereus	02639809
eucinostomus	02639967
genus eucinostomus	02639967
silver jenny	02640105
eucinostomus gula	02640105
sillaginidae	02640267
family sillaginidae	02640267
sillago	02640469
genus sillago	02640469
ganoin	02640734
ganoine	02640734
ganoidei	02640953
order ganoidei	02640953
ganoid	02641226
ganoid fish	02641226
amiidae	02641465
family amiidae	02641465
amia	02641590
genus amia	02641590
bowfin	02641717
grindle	02641717
amia calva	02641717
polyodontidae	02641942
family polyodontidae	02641942
polyodon	02642094
genus polyodon	02642094
paddlefish	02642235
polyodon spathula	02642235
psephurus	02642416
genus psephurus	02642416
chinese paddlefish	02642552
psephurus gladis	02642552
acipenseridae	02642723
family acipenseridae	02642723
sturgeon	02642872
acipenser	02643083
genus acipenser	02643083
pacific sturgeon	02643256
white sturgeon	02643256;02643487
sacramento sturgeon	02643256
acipenser transmontanus	02643256
hausen	02643487
acipenser huso	02643487
lepisosteidae	02643693
family lepisosteidae	02643693
lepisosteus	02643845
genus lepisosteus	02643845
garfish	02644009
garpike	02644009
lepisosteus osseus	02644009
scleroparei	02644238
order scleroparei	02644238
scorpaenoidea	02644455
